,text
3444,"But when I discovered that he, the author at once of my existence and of its unspeakable torments, dared to hope for happiness, that while he accumulated wretchedness and despair upon me he sought his own enjoyment in feelings and passions from the indulgence of which I was forever barred, then impotent envy and bitter indignation filled me with an insatiable thirst for vengeance."
3445,I was overcome by gloom and misery and often reflected I had better seek death than desire to remain in a world which to me was replete with wretchedness.
3446,"He can no longer be a subject for pity; we must reserve that for his miserable survivors."""
3447,"What was I? The question again recurred, to be answered only with groans."
3448,"Her dark hair was braided and twined in thick knots like the head dress of a Grecian statue; her garb was mean, but her attitude might have been selected as a model of grace."
3449,As soon as I perceived him I suddenly rose to escape from his observation by entering among the trees.
3450,"He listened with haughtiness, replied disdainfully; and, if in truth, she succeeded in awakening his conscience, the sole effect was that he sought an opiate for the pang in oblivious riot."
3451,"They gathered round him, counted their numbers, and detailed the reasons why they were now to receive an addition of such and such members, who had not yet declared themselves."
3452,I saw a change in her also.
3453,"We returned again, with torches; for I could not rest, when I thought that my sweet boy had lost himself, and was exposed to all the damps and dews of night; Elizabeth also suffered extreme anguish."
3454,"My daughter, I love you"" The last words died away in a hoarse whisper, but I heard them and sunk on the ground, covering my face and almost dead with excess of sickness and fear: a cold perspiration covered my forehead and I shivered in every limb But he continued, clasping his hands with a frantic gesture: ""Now I have dashed from the top of the rock to the bottom Now I have precipitated myself down the fearful chasm The danger is over; she is alive Oh, Mathilda, lift up those dear eyes in the light of which I live."
3455,"Return speedily, Lionel."""
3456,"The cold is not excessive, if you are wrapped in furs a dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins."
3457,"I became intimate with him, and each day afforded me occasion to admire more and more his powerful and versatile talents, that together with his eloquence, which was graceful and witty, and his wealth now immense, caused him to be feared, loved, and hated beyond any other man in England."
3458,"Poor William he was our darling and our pride"" Tears, unrestrained, fell from my brother's eyes; a sense of mortal agony crept over my frame."
3459,"The latter name made me tremble when pronounced by Henry, and I hastened to quit Matlock, with which that terrible scene was thus associated."
